filename,question,options,answer,category,id
BNATURE_4739.jpg,বাচ্চাটি কি করতে চাচ্ছে ?,"['মাছ ধরতে', 'গান গাইতে', 'লাফ দিতে', 'স্কুলে পড়তে']",মাছ ধরতে,Social Life,P6BN4739
BNATURE_474.jpg,ছবিতে প্রদর্শিত নদীর দৃশ্যটি বাংলাদেশের কোন অঞ্চলের প্রতিনিধিত্ব করতে পারে?,"['সুন্দরবন', 'হাওর অঞ্চল', 'পার্বত্য চট্টগ্রাম', 'উত্তরবঙ্গ']",হাওর অঞ্চল,Nature,P6BN474
BNATURE_4742.jpg,কক্সবাজার কিসের জন্য বিখ্যাত ?,"['দীর্ঘতম সমুদ্র সৈকত', 'দীর্ঘ নদী', 'বিশাল বড়ো বাজার', 'ঘোড়ার সমাহার']",দীর্ঘতম সমুদ্র সৈকত,Nature,P6BN4742
BNATURE_4743.jpg,ছবিতে কি করা হচ্ছে ?,"['শপথ পাঠ', 'মারামারি', 'আন্দোলন', 'আড্ডা']",শপথ পাঠ,Social Life,P6BN4743
BNATURE_4744.jpg,চাচার মনের অবস্থা কেমন ?,"['উদাস', 'হাসিখুশি', 'ক্লান্ত', 'রাগী']",উদাস,Social Life,P6BN4744
BNATURE_4747.jpg,হাসের মাংসের সাথে রুটি কখন খাওয়ার উপযুক্ত সময় ?,"['শীতকাল', 'বর্ষাকাল', 'হেমন্ত', 'শরতকাল']",শীতকাল,Social Life,P6BN4747
BNATURE_4748.jpg,এটি কিসের ছবি হতে পারে ?,"['ট্রলার', 'বাস', 'ট্রেন', 'প্লেন']",ট্রলার,Social Life,P6BN4748
BNATURE_4749.jpg,ছবিতে প্রদর্শিত দৃশ্যটি বাংলাদেশের কোন অঞ্চলের প্রতিনিধিত্ব করতে পারে?,"['সুন্দরবন', 'হাওর অঞ্চল', 'চলন বিল', 'উত্তরবঙ্গ']",চলন বিল,Nature,P6BN4749
BNATURE_475.jpg,বাংলাদেশের পতাকা নিয়ে কি করা হচ্ছে ?,"['বাচ্চারা উল্লাসে দৌড়াচ্ছে', 'পতাকা উত্তোলন', 'পতাকা তৈরি', 'পতাকাতে রঙ']",বাচ্চারা উল্লাসে দৌড়াচ্ছে,Social Life,P6BN475
BNATURE_4751.jpg,"ছবিটি যদি বাংলাদেশের কোনো অঞ্চলের প্রতিনিধিত্ব করে, তবে এর প্রধান বৈশিষ্ট্য কী হতে পারে?","['ঐতিহাসিক তাৎপর্য', 'সাংস্কৃতিক ঐতিহ্য', 'প্রাকৃতিক সৌন্দর্য ও জীবিকা', 'অর্থনৈতিক সমৃদ্ধি']",প্রাকৃতিক সৌন্দর্য ও জীবিকা,Social Life,P6BN4751
BNATURE_4752.jpg,লোকটি কেনো লাফ দিল ?,"['আনন্দে', 'আতংকে', 'ধাক্কা খেয়ে', 'হতাশায়']",আনন্দে,Social Life,P6BN4752
BNATURE_4753.jpg,ছবিটি কি নির্দেশ করে ?,"['অফিসের কাজ', 'গ্রামীণ পরিবেশ', 'শহরের পরিবেশ', 'ট্রাফিক জ্যাম']",গ্রামীণ পরিবেশ,Nature,P6BN4753
BNATURE_4754.jpg,মাটির জিনিস কারা তৈরি করে,"['কুমোর', 'কামার', 'রাজমিস্ত্রি', 'মুচী']",কুমোর,Social Life,P6BN4754
BNATURE_4755.jpg,কিসের পোস্টার লাগানো রয়েছে ?,"['চলচ্চিত্রের', 'রিসার্চ প্যাপার এর', 'নির্বাচনের', 'বিজ্ঞাপন']",চলচ্চিত্রের,Social Life,P6BN4755
BNATURE_4756.jpg,ছবিতে কি প্রকাশ পাচ্ছে ?,"['আনন্দ', 'রাগ', 'ক্ষোভ', 'কান্না']",আনন্দ,Social Life,P6BN4756
BNATURE_4757.jpg,ছবিতে প্রদর্শিত দৃশ্যটি বাংলাদেশের গ্রামীণ জীবনের কোন দিকটির প্রতিচ্ছবি?,"['আধুনিক কৃষি পদ্ধতি', 'প্রাকৃতিক দুর্যোগের প্রভাব', 'জীবনযাত্রা ও জীবিকার সংগ্রাম', 'গ্রামীণ উৎসব ও বিনোদন']",জীবনযাত্রা ও জীবিকার সংগ্রাম,Incidents,P6BN4757
BNATURE_4758.jpg,ছবিতে প্রদর্শিত দৃশ্যটি বাংলাদেশের গ্রামীণ জীবনের কোন দিকটির প্রতীক হতে পারে?,"['প্রকৃতির প্রতি ভালোবাসা ও নির্ভরশীলতা', 'আধুনিক জীবনের ব্যস্ততা ও যান্ত্রিকতা', 'শহুরে জীবনের দূষণ ও বিচ্ছিন্নতা', 'ধর্মীয় উৎসব ও আনন্দ']",প্রকৃতির প্রতি ভালোবাসা ও নির্ভরশীলতা,Nature,P6BN4758
BNATURE_476.jpg,এই দৃশ্যটি বাংলাদেশের কোন অঞ্চলের সংস্কৃতির প্রতিনিধিত্ব করে?,"['পার্বত্য চট্টগ্রাম', 'সুন্দরবন', 'কক্সবাজার', 'সিলেট']",কক্সবাজার,Nature,P6BN476
BNATURE_4760.jpg,ছবিতে কোন ধরনের বাগান দেখা যাচ্ছে?,"['চা বাগান', 'ফুলের বাগান', 'ফলের বাগান', 'সবজির বাগান']",চা বাগান,Social Life,P6BN4760
BNATURE_4761.jpg,ছবির মানুষ গুলো কোথায় আছে ?,"['জাহাজে', 'জেলখানায়', 'মরুভূমিতে', 'চা দোকানে']",জাহাজে,Social Life,P6BN4761
BNATURE_4762.jpg,ছবিতে বাচ্চারা কিসে লিখতেছে?,"['সিলেটে', 'খাতায়', 'বোর্ডে', 'দেয়ালে']",সিলেটে,Social Life,P6BN4762
BNATURE_4763.jpg,কিসের দোকান দেখতে পাওয়া যাচ্ছে ?,"['ছেলেদের কাপড়ের দোকান', 'মেয়েদের কাপড়ের দোকান', 'পর্দার দোকান', 'বাচাদের দোকান']",ছেলেদের কাপড়ের দোকান,Social Life,P6BN4763
BNATURE_4764.jpg,কোন সময়ের ছবি হতে পারে ?,"['সকাল', 'বিকাল', 'সন্ধ্যা', 'রাত']",বিকাল,Nature,P6BN4764
BNATURE_477.jpg,এটি কোন জায়গা হতে পারে ?,"['কক্সবাজার', 'সুন্দরবন', 'সিলেট', 'খুলনা']",কক্সবাজার,Nature,P6BN477
BNATURE_4771.jpg,নৌকায় করে কি নিয়ে যাচ্ছে ?,"['গরু', 'কাপড়', 'ফল', 'মানুষ']",গরু,Social Life,P6BN4771
BNATURE_4773.jpg,ছবিতে মেয়েরা কি করতেছে ?,"['গ্রামীণ রাস্তায় হাটাহাটি', 'শহরে দৌড়', 'মাঠে আড্ডা', 'খেলাধুলা']",গ্রামীণ রাস্তায় হাটাহাটি,Nature,P6BN4773
BNATURE_4774.jpg,ছবিতে কি দেখা যাচ্ছে ?,"['নৌকা', 'ট্রলার', 'স্পিড বোট', 'ট্রাক']",নৌকা,Nature,P6BN4774
BNATURE_4775.jpg,মহিলাটি গরু নিয়ে মাঠে যাচ্ছে  কেন?,"['ঘাস খাওয়াতে', 'বিক্রি করতে', 'মুক্ত করতে', 'গোসল করতে']",ঘাস খাওয়াতে,Social Life,P6BN4775
BNATURE_4776.jpg,ছবিতে কৃষক মাঠে কি করছে ?,"['ধান কাটছে', 'ধান রোপন', 'আড্ডা', 'লাঙ্গল']",ধান কাটছে,Social Life,P6BN4776
BNATURE_4777.jpg,এই সমুদ্রসৈকত টি কোন জায়গায় হতে পারে ?,"['কক্সবাজার', 'সিলেট', 'রাঙ্গামাটি', 'নোয়াখালি']",কক্সবাজার,Nature,P6BN4777
BNATURE_4778.jpg,হকারটি কি বিক্রি করে ?,"['বেলুনের পুতুল', 'কাপড়', 'মেকাপ সামগ্রী', 'খেলনা']",বেলুনের পুতুল,Social Life,P6BN4778
BNATURE_478.jpg,ছবিটি কোন জিনিসের সাথে গভীর সম্পর্কযুক্ত ?,"['ঝর্ণা', 'পাহাড়', 'নদী', 'লেক']",ঝর্ণা,Nature,P6BN478
BNATURE_4780.jpg,ছবিতে কোন ধরনের উৎসবের চিত্র দেখা যাচ্ছে?,"['দীপাবলি', 'বড়দিন', 'বৌদ্ধ পূর্ণিমা', 'ঈদ']",দীপাবলি,Cultural Festivals,P6BN4780
BNATURE_4781.jpg,ছবিতে গাছটি কি দেখাচ্ছে?,"['গাছের নিচে বিশ্রাম নিচ্ছে', 'গাছের ফল খাচ্ছে', 'গাছের ডাল কাটছে', 'গাছের চারপাশে খেলছে']",গাছের নিচে বিশ্রাম নিচ্ছে,Nature,P6BN4781
BNATURE_4785.jpg,ছবিতে লাইন ধরে কারা যাচ্ছে ?,"['কৃষক', 'তাবলীগ', 'শিবির', 'চরমোনাই']",কৃষক,Social Life,P6BN4785
BNATURE_4789.jpg,ছবিতে কি ফুল দেখা যাচ্ছে ?,"['শপলা', 'গোলাপ', 'গেন্ধা', 'রজনীগন্ধা']",শপলা,Nature,P6BN4789
BNATURE_4790.jpg,ছবিতে লোকটি কি করছে ?,"['নারিকেল গাছে উঠছে', 'গাছ বেয়ে নামছে', 'গাছ থেকে পড়ে যাচ্ছে', 'গাছে উঠার স্বপ্ন দেখছে']",নারিকেল গাছে উঠছে,Social Life,P6BN4790
BNATURE_4791.jpg,ছবিতে কিসের আড়ত দেখা যাচ্ছে ?,"['পান', 'চাল', 'ফল', 'সবজি']",পান,Food,P6BN4791
BNATURE_4792.jpg,নৌকাটি কি করছে?,"['যাত্রী পারাপার করছে', 'মাছ ধরছে', 'মাল পরিবহন করছে', 'পাড়ে দাঁড়িয়ে আছে']",যাত্রী পারাপার করছে,Social Life,P6BN4792
BNATURE_4794.jpg,খড়কাঠ দিয়ে কি করা হয় ?,"['রান্নার কাজে জ্বালানি', 'বাচাদের মারা', 'ঝাড়ফুক করতে', 'ডান্ডা গুলি']",রান্নার কাজে জ্বালানি,Social Life,P6BN4794
BNATURE_4796.jpg,পান্তুমাই ঝর্ণা কোথায় অবস্থিত?,"['সিলেট জেলায়', 'মৌলভীবাজার জেলায়', 'খাগড়াছড়ি জেলায়', 'বান্দরবান জেলায়']",সিলেট জেলায়,Nature,P6BN4796
BNATURE_4750.jpg,ছবিতে কি কি প্রাকৃতিক উপাদান দেখা যাচ্ছে?,"['নদী, নৌকা, এবং গাছপালা', 'হ্রদ, পর্বত, মেঘ, এবং আকাশ', 'সমুদ্র, সৈকত, এবং সূর্য', 'জলপ্রপাত, বন, এবং পাথর']","হ্রদ, পর্বত, মেঘ, এবং আকাশ",Nature,P6BN4750
BNATURE_4783.jpg,ছবিতে কোন জলপ্রপাত দেখা যাচ্ছে?,"['পান্তুমাই ঝর্ণা', 'নাফাখুম জলপ্রপাত', 'মাধবকুন্ড জলপ্রপাত', 'ভেলা জলপ্রপাত']",পান্তুমাই ঝর্ণা,Nature,P6BN4783
BNATURE_48.jpg,ছবির ফলটির নাম কি ?,"['পেঁপে', 'আম', 'কাঠাল', 'পেয়ারা']",পেঁপে,Food,P6BN48
BNATURE_4863.jpg,ছবিতে মেয়েগুলো কি করছে ?,"['কুকুরের সাথে বন্ধুত্ব', 'কুকুরকে ডিল মারছে', 'কুকুরকে দৌড়াচ্ছে', 'কুকুরের দৌড় খাচ্ছে']",কুকুরের সাথে বন্ধুত্ব,Social Life,P6BN4863
BNATURE_4894.jpg,ছবিতে দূরে কাকে দাঁড়িয়ে থাকতে দেখা যাচ্ছে?,"['একজন কৃষক', 'একজন রাখাল', 'একজন পর্যটক', 'একজন পথচারী']",একজন কৃষক,Nature,P6BN4894
BNATURE_4924.jpg,বালকটি কি বিক্রি করে ?,"['বেলুন', 'খেলনা', 'ঝালমুড়ি', 'পিঠা']",বেলুন,Social Life,P6BN4924
BNATURE_494.jpg,ছবিতে নৌকায় লোকেরা কি করছে ?,"['বাবা বাচ্চাদের নিয়ে আসছে', 'বয়স্ক ব্যাক্তিবর্গের আলাপ', 'স্বামী স্ত্রীর ভ্রমণ', 'যাত্রী পারাপার']",বাবা বাচ্চাদের নিয়ে আসছে,Social Life,P6BN494
BNATURE_4970.jpg,কোন সময় দেখা যাচ্ছে ?,"['ভোর', 'বিকাল', 'দুপুর', 'রাত']",ভোর,Social Life,P6BN4970
BNATURE_480.jpg,ছবিটি কীভাবে বাংলাদেশের প্রতীক ?,"['পতাকা', 'জাতীয় ফল', 'ধানের শীষ', 'নৌকা']",পতাকা,Clothing & Fashion,P6BN480
BNATURE_4801.jpg,ছবিতে লোক দুটি কোথায় আছে ?,"['ট্রলারে', 'জাহাজে', 'ট্রেনে', 'বাসে']",ট্রলারে,Social Life,P6BN4801
BNATURE_4804.jpg,ছবিতে কি কি প্রাকৃতিক উপাদান দেখা যাচ্ছে?,"['গাছপালা এবং আকাশ', 'নদী, জমি এবং মানুষ', 'পাহাড়, বন এবং জলপ্রপাত', 'সমুদ্র, সৈকত এবং বালি']","নদী, জমি এবং মানুষ",Nature,P6BN4804
BNATURE_4805.jpg,বাচ্চারা কিসের প্রতোযোগিতা করছে ?,"['চিত্রাঙ্কন', 'সাতার', 'দৌড়', 'গান']",চিত্রাঙ্কন,Cultural Festivals,P6BN4805
BNATURE_4806.jpg,ছবিতে কাদের দেখা যাচ্ছে ?,"['বাচ্ছাদের', 'কয়েদী দের', 'নেশাখোর', 'পাগল']",বাচ্ছাদের,Social Life,P6BN4806
BNATURE_4809.jpg,ছবিতে কোন অঞ্চলের দৃশ্য দেখা যাচ্ছে?,"['সমুদ্র উপকূল', 'পাহাড়ি অঞ্চল', 'সমতল ভূমি', 'মরুভূমি']",পাহাড়ি অঞ্চল,Nature,P6BN4809
BNATURE_481.jpg,ছবিতে কোন ধরনের জমির দৃশ্য দেখা যাচ্ছে?,"['পতিত জমি', 'ধানী জমি', 'বালুময় জমি', 'পাহাড়ি জমি']",পতিত জমি,Nature,P6BN481
BNATURE_4810.jpg,ছবিতে মানুষটি কি করছে বলে মনে হচ্ছে?,"['দাঁড়িয়ে দেখছে', 'হাঁটছে', 'বিশ্রাম করছে', 'কাজ করছে']",দাঁড়িয়ে দেখছে,Nature,P6BN4810
BNATURE_4812.jpg,মেয়েটির কোলে কী আছে ?,"['পুতুল', 'কুকুর', 'বিড়াল', 'বাচ্চা']",পুতুল,Social Life,P6BN4812
BNATURE_4817.jpg,ছবিতে দেখা যাচ্ছে ট্রাকটিতে কি ফল পরিবহন করা হচ্ছে?,"['আনারস', 'আম', 'কলা', 'পেয়ারা']",আনারস,Social Life,P6BN4817
BNATURE_4818.jpg,ছবিতে কোন ধরনের কাজ করতে দেখা যাচ্ছে?,"['জমিতে হাল চাষ করা', 'ফসল কাটা', 'মাছ ধরা', 'পরিবহন']",জমিতে হাল চাষ করা,Social Life,P6BN4818
BNATURE_4819.jpg,ছবিতে কোন ঐতিহাসিক স্থানটি দেখানো হয়েছে?,"['ইদ্রাকপুর দুর্গ', 'লালবাগ কেল্লা', 'আহসান মঞ্জিল', 'সোনারগাঁও']",ইদ্রাকপুর দুর্গ,Arts & History,P6BN4819
BNATURE_4825.jpg,বাতি জ্বলানো লোকটি কি করছে ?,"['বাদাম বিক্রি', 'টিকিট বিক্রি', 'বই বিক্রি', 'বার্গার বিক্রি']",বাদাম বিক্রি,Social Life,P6BN4825
BNATURE_4826.jpg,কোন জায়গায় আছে তারা ?,"['ছোট কুটিরে', 'রাজপ্রাসাদে', 'পার্কে', 'মাঠে']",ছোট কুটিরে,Social Life,P6BN4826
BNATURE_4827.jpg,ভোরবেলা লোকটি নদীতে কি করার চেষ্টা করছে ?,"['মাছ ধরার', 'গোসল', 'লাফ দেওয়ার', 'প্রকৃতি দেখার']",মাছ ধরার,Social Life,P6BN4827
BNATURE_483.jpg,ছবিতে লোক গুলো কি করছে ?,"['ভ্রমণ', 'মাছ ধরছে', 'বাজার করছে', 'সাতার কাটছে']",ভ্রমণ,Nature,P6BN483
BNATURE_4830.jpg,মাছটির নাম কি  ?,"['পাঙ্গাশ', 'ইলিশ', 'পুনি', 'রুই']",পাঙ্গাশ,Social Life,P6BN4830
BNATURE_4834.jpg,লোকটি কি দিয়ে খাল পার হচ্ছে ?,"['বাঁশের সাকো', 'পাকা ব্রীজ', 'লাফ দিয়ে', 'সাতার দিয়ে']",বাঁশের সাকো,Social Life,P6BN4834
BNATURE_4835.jpg,নদীতে লাফ দেওয়া কোথায় দেখা যায় ?,"['গ্রামে', 'শহরে', 'বিদেশে', 'কল্পনায়']",গ্রামে,Nature,P6BN4835
BNATURE_4836.jpg,বাচ্চাটি মাটিতে বসে কি করছে ?,"['খেলছে', 'কান্না করছে', 'পড়তেছে', 'ঘুমাচ্ছে']",খেলছে,Social Life,P6BN4836
BNATURE_4837.jpg,ছবিতে কোন কৃষি সরঞ্জামটি ব্যবহার করা হচ্ছে?,"['পাওয়ার টিলার', 'ট্রাক্টর', 'লাঙ্গল', 'নিড়ানি']",পাওয়ার টিলার,Social Life,P6BN4837
BNATURE_4838.jpg,ছবিতে কোন প্রাণীগুলোকে প্রধানত দেখা যাচ্ছে?,"['কাক ও মানুষ', 'কাক ও পায়রা', 'কুকুর ও বিড়াল', 'গরু ও ছাগল']",কাক ও মানুষ,Nature,P6BN4838
BNATURE_4839.jpg,ছবিতে পাখিটি কোথায় বসে আছে?,"['বাঁশে', 'গাছে', 'হাতে', 'মাথায়']",বাঁশে,Nature,P6BN4839
BNATURE_484.jpg,ছবিতে কোন ফুলটি দেখানো হয়েছে?,"['কৃষ্ণচূড়া', 'পদ্ম', 'সূর্যমুখী', 'গোলাপ']",কৃষ্ণচূড়া,Nature,P6BN484
BNATURE_4841.jpg,ছবিতে জেলে কি দিয়ে মাছ ধরছেন?,"['জাল', 'বড়শি', 'তেলাপিয়া', 'চাই']",জাল,Social Life,P6BN4841
BNATURE_4843.jpg,ছবিতে লোকেরা কি করছে ?,"['জাল দিয়ে মাছ ধরছে', 'গল্প করছে', 'সাতার কাটছে', 'মাছ বাজারে আছে']",জাল দিয়ে মাছ ধরছে,Social Life,P6BN4843
BNATURE_4845.jpg,ছেলেটির হাতে কি আছে ?,"['ধুপকাঠি', 'সিগারেট', 'মশাল', 'সিলিন্ডার']",ধুপকাঠি,Religious Events,P6BN4845
BNATURE_4847.jpg,বাচ্চাটি মাথায় কি বেধেছে ?,"['পাগড়ি', 'ব্যান্ডেজ', 'রবার ব্যান্ড', 'ক্লিপ']",,Social Life,P6BN4847
BNATURE_4849.jpg,ছবিতে কোন ধরনের দৃশ্য দেখা যাচ্ছে?,"['একটি নদীর দৃশ্য, যেখানে কাশফুলের বন দেখা যাচ্ছে', 'একটি গ্রামের দৃশ্য, যেখানে ধানক্ষেত দেখা যাচ্ছে', 'একটি শহরের দৃশ্য, যেখানে অনেকbuilding দেখা যাচ্ছে', 'একটি বনের দৃশ্য, যেখানে অনেক গাছপালা দেখা যাচ্ছে']","একটি নদীর দৃশ্য, যেখানে কাশফুলের বন দেখা যাচ্ছে",Nature,P6BN4849
BNATURE_485.jpg,ছবিতে কোন সমুদ্র সৈকত দেখা যাচ্ছে?,"['কক্সবাজার', 'সেন্ট মার্টিন', 'ইনানী', 'টেকনাফ']",কক্সবাজার,Nature,P6BN485
BNATURE_4851.jpg,ছবিতে জেলে কি দিয়ে মাছ ধরছেন?,"['জাল', 'বড়শি', 'তেলাপিয়া', 'চাই']",জাল,Social Life,P6BN4851
BNATURE_4852.jpg,ছবিতে জেলে কি দিয়ে মাছ ধরছেন?,"['জাল', 'বড়শি', 'তেলাপিয়া', 'চাই']",জাল,Social Life,P6BN4852
BNATURE_4853.jpg,ছবিতে লোকটিকে কোথায় ঘুমাতে দেখা যাচ্ছে?,"['একটি পার্কের বেঞ্চে', 'একটি কংক্রিটের বেঞ্চে', 'ফুটপাতে', 'একটি গাছের নিচে']",একটি কংক্রিটের বেঞ্চে,Social Life,P6BN4853
BNATURE_4855.jpg,ছবিতে কোন কাজটি করা হচ্ছে?,"['মৃৎশিল্প তৈরি', 'বস্ত্র তৈরি', 'কাঠের কাজ', 'ধাতুর কাজ']",মৃৎশিল্প তৈরি,Arts & History,P6BN4855
BNATURE_4857.jpg,লোকটির হাতে কি আছে ?,"['গম', 'আটা', 'রুটি', 'ধান']",ধান,Social Life,P6BN4857
BNATURE_4858.jpg,ছবিতে কখনকার দৃশ্য দেখানো হয়েছে?,"['সকাল', 'দুপুর', 'সন্ধ্যা', 'রাত']",সকাল,Nature,P6BN4858
BNATURE_4859.jpg,ছেলেটার কাছে কি আছে ?,"['সাপ', 'শাপলা ফুল', 'টায়ার', 'বাঁশ']",শাপলা ফুল,Social Life,P6BN4859
BNATURE_4860.jpg,বসন্ত উৎসবে কি করছে ?,"['মারামারি', 'ছিনতাই', 'বসে আছে', 'নাচতেছে']",নাচতেছে,Cultural Festivals,P6BN4860
BNATURE_4861.jpg,ছবিতে কোন প্রাণী টি দেখা যাচ্ছে,"['ছাগল', 'উট', 'গরু', 'মহিষ']",গরু,Social Life,P6BN4861
BNATURE_4864.jpg,ছবিতে কিসের বাগান দেখা যাচ্ছে ?,"['গোলাপ', 'কাশফুল', 'গেন্ধা', 'শাপলা']",কাশফুল,Nature,P6BN4864
BNATURE_4867.jpg,পরিবেশ টি কোন জায়গার ?,"['ঢাকা শহরের', 'গ্রামীণ পরিবেশের', 'বাজারের', 'স্টেশনের']",ঢাকা শহরের,Social Life,P6BN4867
BNATURE_4869.jpg,নৌকার উপরে কে আছে ?,"['মাঝি', 'পর্যটক', 'ছেলে মেয়ে', 'বাচ্চারা']",মাঝি,Social Life,P6BN4869
BNATURE_4871.jpg,ছবিতে লোকরা কি করছে ?,"['ভ্রমণ করছে', 'দৌড়প্রতিযোগিতা', 'সাঁতার', 'নৌকা বাইচ']",ভ্রমণ করছে,Social Life,P6BN4871
BNATURE_4873.jpg,বাচ্চা মেয়েটি কি করছে ?,"['শপথ', 'গান', 'নাচ', 'ঘুম']",শপথ,Cultural Festivals,P6BN4873
BNATURE_4874.jpg,ছেলেরা কিসের মধ্যে খেলছে ?,"['বৃষ্টির', 'রোদের', 'বন্যার', 'তুফান']",বৃষ্টির,Social Life,P6BN4874
BNATURE_4875.jpg,লোকটি কেনো পানিতে নেমেছে ?,"['গোসল করতে', 'মাছ ধরতে', 'ঘুমাতে', 'বিশ্রাম করতে']",গোসল করতে,Social Life,P6BN4875
BNATURE_4876.jpg,বাচ্চাটি কাকে চুমু দিচ্ছে ?,"['পুতুল', 'মা', 'বোন', 'বাবা']",পুতুল,Social Life,P6BN4876
BNATURE_4877.jpg,মহিলাটি কি নিয়ে যাচ্ছেন ?,"['গবাদি পশুর খাবার', 'চুলোর জ্বালানি', 'কাঠ', 'থালা বাসন']",গবাদি পশুর খাবার,Social Life,P6BN4877
BNATURE_4878.jpg,ছবিটি কিসের সাথে সম্পর্কিত হতে পারে ?,"['ঈদ', 'পূজা', 'বড়দিন', 'ছোটদিন']",ঈদ,Religious Events,P6BN4878
BNATURE_488.jpg,ছবিটি কিসের হতে পারে ?,"['লেকের', 'নদীর', 'সমুদ্রের', 'পুকুরের']",লেকের,Nature,P6BN488
BNATURE_4880.jpg,রিকশার শহর বলা যায় কোন শহর কে ?,"['ঢাকা', 'যশোর', 'খুলনা', 'শরয়ীতপুর']",ঢাকা,Food,P6BN4880
BNATURE_4881.jpg,লোকটি কোন জায়গা আছেন ?,"['পুরনো বিল্ডিং', 'ডুপ্লেক্স বাড়ি', 'জাহাজের কেবিন', 'স্টেশন রুম']",পুরনো বিল্ডিং,Social Life,P6BN4881
BNATURE_4882.jpg,ছবির দোকান টি কি ধরনের দোকান ?,"['মুদি', 'মাছ', 'হার্ড ওয়্যার', 'সবজি বাজার']",মুদি,Social Life,P6BN4882
BNATURE_4883.jpg,বাচ্চারা কি দিয়ে ঘর বানাচ্ছে ?,"['সিমেন্ট', 'কাঠ', 'বালি', 'বাঁশ']",বালি,Social Life,P6BN4883
BNATURE_4884.jpg,নৌকার উপরে কি আছে ?,"['পেয়ারা', 'আপেল', 'নারিকেল', 'তরমুজ']",পেয়ারা,Social Life,P6BN4884
BNATURE_4885.jpg,কোন জায়গা হতে পারে বলে ধারনা করা যায় ?,"['সুন্দরবন', 'গুলিস্তান', 'কক্সবাজার', 'মেট্রোরেল']",সুন্দরবন,Nature,P6BN4885
BNATURE_4886.jpg,পাহাড় টি কোন জায়গায় থাকার সম্ভাবনা বেশি ?,"['সিলেট', 'নোয়াখালী', 'সাতক্ষিরা', 'কুয়াকাটা']",সিলেট,Nature,P6BN4886
BNATURE_4887.jpg,হাতিটির সাথে কি করা হচ্ছে ?,"['জাহাজ থেকে নামানো হচ্ছে', 'ফাঁসি দেওয়া হচ্ছে', 'তামাশা দেখানো হচ্ছে', 'খাওয়া দেওয়া হচ্ছে']",জাহাজ থেকে নামানো হচ্ছে,Arts & History,P6BN4887
